epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:44:09 +0000] "GET /favicon.ico HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:44:11 +0000] "GET /api/epaper/verify HTTP/1.1" 200 151 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:44:11 PM [express] GET /api/epaper/verify 200 in 193ms :: [{"username":"admin","epaperStatus":{"va…
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:44:23 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:44:23 +0000] "GET /assets/index-CDfN0Um8.js HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:44:24 +0000] "GET /assets/index-5XNqcKze.css HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:44:24 +0000] "GET /api/auth/user HTTP/1.1" 200 340 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:44:24 PM [express] GET /api/auth/user 200 in 9ms :: {"id":"8b96e346-9569-49a4-a2c0-d9fa999d8c8a","…
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:44:24 +0000] "GET /favicon.ico HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:44:24 +0000] "GET /api/members HTTP/1.1" 200 344 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:44:24 PM [express] GET /api/members 200 in 15ms :: [{"id":"8b96e346-9569-49a4-a2c0-d9fa999d8c8a","…
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:44:24 +0000] "GET /api/status-options HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:44:24 PM [express] GET /api/status-options 304 in 14ms :: []
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:44:24 +0000] "GET /api/sync/status HTTP/1.1" 200 124 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:44:24 PM [express] GET /api/sync/status 200 in 20ms :: {"success":"true","syncedAt":"2025-10-18T17…
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:44:24 +0000] "GET /api/epaper/verify HTTP/1.1" 304 0 "http://159.89.105.201/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
epaper-app    | 5:44:24 PM [express] GET /api/epaper/verify 304 in 70ms :: [{"username":"admin","epaperStatus":{"val…
epaper-nginx  | 87.197.132.75 - - [18/Oct/2025:17:44:25 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
